ID,Name,CountryCode,District,Population
3768,"Novyi Urengoi",RUS,"Yamalin Nenetsia",89800
3767,Tšaikovski,RUS,Perm,90000
3766,Klin,RUS,Moskova,90000
3765,Krasnogorsk,RUS,Moskova,91000
3764,Kirovo-Tšepetsk,RUS,Kirov,91600
3763,Derbent,RUS,Dagestan,92300
3762,Vorkuta,RUS,Komi,92600
3761,Puškin,RUS,Pietari,92900
3760,Novouralsk,RUS,Sverdlovsk,93300
3759,Zeleznogorsk,RUS,Krasnojarsk,94000
3758,Bugulma,RUS,Tatarstan,94100
3757,Anzero-Sudzensk,RUS,Kemerovo,96100
3756,Zukovski,RUS,Moskova,96500
3755,Zeleznogorsk,RUS,Kursk,96900
3754,Balašov,RUS,Saratov,97100
3753,Nojabrsk,RUS,"Yamalin Nenetsia",97300
3752,Bataisk,RUS,Rostov-na-Donu,97300
3751,Neftejugansk,RUS,Hanti-Mansia,97400
3750,Tobolsk,RUS,Tjumen,97600
3749,Jessentuki,RUS,Stavropol,97900
3748,Uhta,RUS,Komi,98000
3747,Kuznetsk,RUS,Penza,98200
3746,Kinešma,RUS,Ivanovo,100000
3745,Zeleznodoroznyi,RUS,Moskova,100100
3744,Zelenodolsk,RUS,Tatarstan,100200
3743,Serov,RUS,Sverdlovsk,100400
3742,Kyzyl,RUS,Tyva,101100
3741,Votkinsk,RUS,Udmurtia,101700
3740,Novošahtinsk,RUS,Rostov-na-Donu,101900
3739,Elista,RUS,Kalmykia,103300
3738,Usolje-Sibirskoje,RUS,Irkutsk,103500
3737,Mezduretšensk,RUS,Kemerovo,104400
3736,Štšolkovo,RUS,Moskova,104900
3735,Ust-Ilimsk,RUS,Irkutsk,105200
3734,Sarapul,RUS,Udmurtia,105700
3733,Solikamsk,RUS,Perm,106000
3732,Glazov,RUS,Udmurtia,106300
3731,Kansk,RUS,Krasnojarsk,107400
3730,Obninsk,RUS,Kaluga,108300
3729,Novotroitsk,RUS,Orenburg,109600
3728,Kiseljovsk,RUS,Kemerovo,110000
3727,Arzamas,RUS,"Nizni Novgorod",110700
3726,"Sergijev Posad",RUS,Moskova,111100
3725,Oktjabrski,RUS,Baškortostan,111500
3724,Leninsk-Kuznetski,RUS,Kemerovo,113800
3723,Neftekamsk,RUS,Baškortostan,115700
3722,Novokuibyševsk,RUS,Samara,116200
3721,"Velikije Luki",RUS,Pihkova,116300
3720,Noginsk,RUS,Moskova,117200
3719,Seversk,RUS,Tomsk,118600
3718,Jelets,RUS,Lipetsk,119400
3717,Kislovodsk,RUS,Stavropol,120400
