ID,Name,CountryCode,District,Population
2069,Acheng,CHN,Heilongjiang,197595
1941,"Amoy [Xiamen]",CHN,Fujian,627500
2155,Anda,CHN,Heilongjiang,136446
2147,Ankang,CHN,Shaanxi,142170
2031,Anqing,CHN,Anhui,250718
1918,Anshan,CHN,Liaoning,1200000
2106,Anshun,CHN,Guizhou,174142
1967,Anyang,CHN,Henan,420332
2116,Aqsu,CHN,Xinxiang,164092
2050,Baicheng,CHN,Jilin,217987
2064,Baiyin,CHN,Gansu,204970
1955,Baoding,CHN,Hebei,483155
1996,Baoji,CHN,Shaanxi,337765
1925,Baotou,CHN,"Inner Mongolia",980000
2203,Beihai,CHN,Guangxi,112673
2073,Beipiao,CHN,Liaoning,194301
2065,Bei´an,CHN,Heilongjiang,204899
1961,Bengbu,CHN,Anhui,449245
1933,Benxi,CHN,Liaoning,770000
2161,Binzhou,CHN,Shandong,133555
2241,Bose,CHN,Guangxi,93009
2216,Bozhou,CHN,Anhui,106346
2037,Cangzhou,CHN,Hebei,242708
1900,Changchun,CHN,Jilin,2812000
2009,Changde,CHN,Hunan,301276
2167,Changji,CHN,Xinxiang,132260
1910,Changsha,CHN,Hunan,1809800
2090,Changshu,CHN,Jiangsu,181805
2000,Changzhi,CHN,Shanxi,317144
1947,Changzhou,CHN,Jiangsu,530000
2183,Chaohu,CHN,Anhui,123676
2047,Chaoyang,CHN,Liaoning,222394
2002,Chaozhou,CHN,Guangdong,313469
2034,Chengde,CHN,Hebei,246799
1898,Chengdu,CHN,Sichuan,3361500
2111,Chenzhou,CHN,Hunan,169400
1992,Chifeng,CHN,"Inner Mongolia",350077
1892,Chongqing,CHN,Chongqing,6351600
2180,Chuzhou,CHN,Anhui,125341
2214,Cixi,CHN,Zhejiang,107329
2154,Dali,CHN,Yunnan,136554
1902,Dalian,CHN,Liaoning,2697000
1949,Dandong,CHN,Liaoning,520000
2222,Danjiangkou,CHN,Hubei,103211
2110,Danyang,CHN,Jiangsu,169603
1939,Daqing,CHN,Heilongjiang,660000
1931,Datong,CHN,Shanxi,800000
2082,Daxian,CHN,Sichuan,188101
2150,Da´an,CHN,Jilin,138963
2088,Deyang,CHN,Sichuan,182488
2070,Dezhou,CHN,Shandong,195485
2077,Dongtai,CHN,Jiangsu,192247
2004,Dongwan,CHN,Guangdong,308669
2013,Dongying,CHN,Shandong,281728
2185,Dujiangyan,CHN,Sichuan,123357
2040,Dunhua,CHN,Jilin,235100
2164,Duyun,CHN,Guizhou,132971
2239,Emeishan,CHN,Sichuan,94000
2240,Enshi,CHN,Hubei,93056
2080,Ezhou,CHN,Hubei,190123
2074,Fengcheng,CHN,Jiangxi,193784
2006,Foshan,CHN,Guangdong,303160
2223,Fujin,CHN,Heilongjiang,103104
2107,Fuling,CHN,Sichuan,173878
2232,Fuqing,CHN,Fujian,99193
1919,Fushun,CHN,Liaoning,1200000
1940,Fuxin,CHN,Liaoning,640000
2097,Fuyang,CHN,Anhui,179572
2075,Fuyu,CHN,Jilin,192981
1912,Fuzhou,CHN,Fujian,1593800
2218,Fu´an,CHN,Fujian,105265
2048,Ganzhou,CHN,Jiangxi,220129
2054,Gejiu,CHN,Yunnan,214294
2100,Ghulja,CHN,Xinxiang,177193
2045,Gongziling,CHN,Jilin,226569
2225,Guangshui,CHN,Hubei,102770
2089,Guangyuan,CHN,Sichuan,182241
2200,Guigang,CHN,Guangxi,114025
1983,Guilin,CHN,Guangxi,364130
1914,Guiyang,CHN,Guizhou,1465200
2062,Haicheng,CHN,Liaoning,205560
1959,Haikou,CHN,Hainan,454300
2092,Hailar,CHN,"Inner Mongolia",180650
2160,Hailun,CHN,Heilongjiang,133565
2230,Haining,CHN,Zhejiang,100478
2121,Hami,CHN,Xinxiang,161315
1928,Handan,CHN,Hebei,840000
1905,Hangzhou,CHN,Zhejiang,2190500
2109,Hanzhong,CHN,Shaanxi,169930
1895,Harbin,CHN,Heilongjiang,4289800
2056,Hebi,CHN,Henan,212976
1916,Hefei,CHN,Anhui,1369100
1950,Hegang,CHN,Heilongjiang,520000
2221,Hengshui,CHN,Hebei,104269
1954,Hengyang,CHN,Hunan,487148
2190,Heyuan,CHN,Guangdong,120101
2081,Heze,CHN,Shandong,189293
1927,Hohhot,CHN,"Inner Mongolia",916700
2079,Honghu,CHN,Hubei,190772
2196,Hongjiang,CHN,Hunan,116188
2103,Huadian,CHN,Jilin,175873
1981,Huaibei,CHN,Anhui,366549
2178,Huaihua,CHN,Hunan,126785
1937,Huainan,CHN,Anhui,700000
2039,Huaiyin,CHN,Jiangsu,239675
2171,Huai´an,CHN,Jiangsu,131149
2226,Huangshan,CHN,Anhui,102628
1958,Huangshi,CHN,Hubei,457601
2252,Huangyan,CHN,Zhejiang,89288
2250,Huaying,CHN,Sichuan,89400
2122,Huizhou,CHN,Guangdong,161023
1956,Hunjiang,CHN,Jilin,482043
2049,Huzhou,CHN,Zhejiang,218071
1952,Jiamusi,CHN,Heilongjiang,493409
2042,Jiangmen,CHN,Guangdong,230587
2055,Jiangyin,CHN,Jiangsu,213659
2104,Jiangyou,CHN,Sichuan,175753
2101,Jiaohe,CHN,Jilin,176367
2188,Jiaonan,CHN,Shandong,121397
2131,Jiaozhou,CHN,Shandong,153364
1972,Jiaozuo,CHN,Henan,409100
2057,Jiaxing,CHN,Zhejiang,211526
2234,Jieyang,CHN,Guangdong,98531
1923,Jilin,CHN,Jilin,1040000
1904,Jinan,CHN,Shandong,2278100
2217,Jinchang,CHN,Gansu,105287
2156,Jincheng,CHN,Shanxi,136396
2016,Jingdezhen,CHN,Jiangxi,281183
2143,Jinhua,CHN,Zhejiang,144280
2021,Jining,CHN,Shandong,265248
2117,Jining,CHN,"Inner Mongolia",163552
2123,Jinmen,CHN,Hubei,160794
1987,Jinxi,CHN,Liaoning,357052
2238,Jinzhou,CHN,Liaoning,95761
1944,Jinzhou,CHN,Liaoning,570000
2012,Jiujiang,CHN,Jiangxi,291187
2094,Jiutai,CHN,Jilin,180130
1938,Jixi,CHN,Heilongjiang,683885
2137,Ji´an,CHN,Jiangxi,148583
2249,Junan,CHN,Shandong,90222
1951,Kaifeng,CHN,Henan,510000
2201,Kaili,CHN,Guizhou,113958
2243,Kaiyuan,CHN,Yunnan,91999
2181,Kaiyuan,CHN,Liaoning,124219
1897,"Kanton [Guangzhou]",CHN,Guangdong,4256300
2126,Korla,CHN,Xinxiang,159344
1909,Kunming,CHN,Yunnan,1829500
2229,Kunshan,CHN,Jiangsu,102052
2194,Kuytun,CHN,Xinxiang,118553
2033,Laiwu,CHN,Shandong,246833
2152,Laiyang,CHN,Shandong,137080
2067,Laizhou,CHN,Shandong,198664
2139,Langfang,CHN,Hebei,148105
1913,Lanzhou,CHN,Gansu,1565800
2184,Laohekou,CHN,Hubei,123366
2172,Leiyang,CHN,Hunan,130115
2151,Lengshuijiang,CHN,Hunan,137994
1995,Leshan,CHN,Sichuan,341128
2192,Lhasa,CHN,Tibet,120000
2130,Liangcheng,CHN,Shandong,156307
2193,Lianyuan,CHN,Hunan,118858
1989,Lianyungang,CHN,Jiangsu,354139
2061,Liaocheng,CHN,Shandong,207844
1953,Liaoyang,CHN,Liaoning,492559
1988,Liaoyuan,CHN,Jilin,354141
2211,Liling,CHN,Hunan,108504
2187,Linchuan,CHN,Jiangxi,121949
2083,Linfen,CHN,Shanxi,187309
2246,Linhai,CHN,Zhejiang,90870
2162,Linhe,CHN,"Inner Mongolia",133183
2182,Linqing,CHN,Shandong,123958
1997,Linyi,CHN,Shandong,324720
1984,Liupanshui,CHN,Guizhou,363954
1942,Liuzhou,CHN,Guangxi,610000
2144,Liu´an,CHN,Anhui,144248
2208,Liyang,CHN,Jiangsu,109520
2149,Longjing,CHN,Jilin,139417
2138,Longkou,CHN,Shandong,148362
2157,Longyan,CHN,Fujian,134481
2175,Loudi,CHN,Hunan,128418
2179,Luohe,CHN,Henan,126438
1934,Luoyang,CHN,Henan,760000
2024,Luzhou,CHN,Sichuan,262892
2191,Manzhouli,CHN,"Inner Mongolia",120023
2098,Maoming,CHN,Guangdong,178683
2005,Ma´anshan,CHN,Anhui,305421
2059,Meihekou,CHN,Jilin,209038
2168,Meixian,CHN,Guangdong,132156
2023,Mianyang,CHN,Sichuan,262947
2165,Mishan,CHN,Heilongjiang,132744
1945,Mudanjiang,CHN,Heilongjiang,570000
1911,Nanchang,CHN,Jiangxi,1691600
2093,Nanchong,CHN,Sichuan,180273
1899,"Nanking [Nanjing]",CHN,Jiangsu,2870300
1920,Nanning,CHN,Guangxi,1161800
2071,Nanping,CHN,Fujian,195064
1994,Nantong,CHN,Jiangsu,343341
2036,Nanyang,CHN,Henan,243303
2027,Neijiang,CHN,Sichuan,256012
1915,Ningbo,CHN,Zhejiang,1371200
1985,Panjin,CHN,Liaoning,362773
1968,Panzhihua,CHN,Sichuan,415466
1891,Peking,CHN,Peking,7472000
1969,Pingdingshan,CHN,Henan,410775
2136,Pingdu,CHN,Shandong,150123
2231,Pingliang,CHN,Gansu,99265
1965,Pingxiang,CHN,Jiangxi,425579
2251,Pingyi,CHN,Shandong,89373
2195,Puqi,CHN,Hubei,117264
2245,Putian,CHN,Fujian,91030
2102,Puyang,CHN,Henan,175988
2068,Qaramay,CHN,Xinxiang,197602
2105,Qashqar,CHN,Xinxiang,174570
2063,Qianjiang,CHN,Hubei,205504
2177,Qidong,CHN,Jiangsu,126872
1903,Qingdao,CHN,Shandong,2596000
2115,Qingyuan,CHN,Guangdong,164641
2176,Qingzhou,CHN,Shandong,128258
1982,Qinhuangdao,CHN,Hebei,364972
2197,Qinzhou,CHN,Guangxi,114586
1922,Qiqihar,CHN,Heilongjiang,1070000
2053,Qitaihe,CHN,Heilongjiang,214957
2086,Quanzhou,CHN,Fujian,185154
2099,Qujing,CHN,Yunnan,178669
2205,Quzhou,CHN,Zhejiang,112373
2198,Renqiu,CHN,Hebei,114256
2087,Rizhao,CHN,Shandong,185048
2128,Rui´an,CHN,Zhejiang,156468
2189,Sanmenxia,CHN,Henan,120523
2124,Sanming,CHN,Fujian,160691
2224,Sanya,CHN,Hainan,102820
1890,Shanghai,CHN,Shanghai,9696300
2113,Shangqiu,CHN,Henan,164880
2166,Shangrao,CHN,Jiangxi,132455
2051,Shangzi,CHN,Heilongjiang,215373
1943,Shantou,CHN,Guangdong,580000
2213,Shanwei,CHN,Guangdong,107847
1993,Shaoguan,CHN,Guangdong,350043
2248,Shaowu,CHN,Fujian,90286
2096,Shaoxing,CHN,Zhejiang,179818
2032,Shaoyang,CHN,Hunan,247227
2014,Shashi,CHN,Hubei,281352
1896,Shenyang,CHN,Liaoning,4265200
1926,Shenzhen,CHN,Guangdong,950500
2010,Shihezi,CHN,Xinxiang,299676
1907,Shijiazhuang,CHN,Hebei,2041500
2220,Shishou,CHN,Hubei,104571
2019,Shiyan,CHN,Hubei,273786
2026,Shizuishan,CHN,Ningxia,257862
2145,Shuangcheng,CHN,Heilongjiang,142659
1976,Shuangyashan,CHN,Heilongjiang,386081
1999,Siping,CHN,Jilin,317223
2044,Suihua,CHN,Heilongjiang,227881
2141,Suining,CHN,Sichuan,146086
2146,Suizhou,CHN,Hubei,142302
2219,Suqian,CHN,Jiangsu,105021
1935,Suzhou,CHN,Jiangsu,710000
2133,Suzhou,CHN,Anhui,151862
1908,Taiyuan,CHN,Shanxi,1968400
2132,Taizhou,CHN,Jiangsu,152442
1991,Tai´an,CHN,Shandong,350696
1924,Tangshan,CHN,Hebei,1040000
2135,Taonan,CHN,Jilin,150168
2001,Tengzhou,CHN,Shandong,315083
1893,Tianjin,CHN,Tianjin,5286800
2084,Tianmen,CHN,Hubei,186332
2035,Tianshui,CHN,Gansu,244974
2170,Tiefa,CHN,Liaoning,131807
2020,Tieli,CHN,Heilongjiang,265683
2029,Tieling,CHN,Liaoning,254842
2236,"Tong Xian",CHN,Peking,97168
2017,Tongchuan,CHN,Shaanxi,280657
1998,Tonghua,CHN,Jilin,324600
2028,Tongliao,CHN,"Inner Mongolia",255129
2043,Tongling,CHN,Anhui,228017
2244,Tumen,CHN,Jilin,91471
2125,Ulanhot,CHN,"Inner Mongolia",159538
1917,"Urumtši [Ürümqi]",CHN,Xinxiang,1310100
2030,Wafangdian,CHN,Liaoning,251733
2127,Wanxian,CHN,Sichuan,156823
1963,Weifang,CHN,Shandong,428522
2174,Weihai,CHN,Shandong,128888
2148,Weinan,CHN,Shaanxi,140169
2159,Wendeng,CHN,Shandong,133910
1973,Wenzhou,CHN,Zhejiang,401871
2022,Wuhai,CHN,"Inner Mongolia",264081
1894,Wuhan,CHN,Hubei,4344600
1964,Wuhu,CHN,Anhui,425740
2163,Wuwei,CHN,Gansu,133101
1929,Wuxi,CHN,Jiangsu,830000
2058,Wuzhou,CHN,Guangxi,210452
1970,Xiangfan,CHN,Hubei,410407
1962,Xiangtan,CHN,Hunan,441968
2153,Xianning,CHN,Hubei,136811
2046,Xiantao,CHN,Hubei,222884
1990,Xianyang,CHN,Shaanxi,352125
2112,Xiaogan,CHN,Hubei,166280
2118,Xiaoshan,CHN,Zhejiang,162930
2158,Xichang,CHN,Sichuan,134419
2247,"Xilin Hot",CHN,"Inner Mongolia",90646
2227,Xingcheng,CHN,Liaoning,102384
2120,Xinghua,CHN,Jiangsu,161910
2008,Xingtai,CHN,Hebei,302789
1936,Xining,CHN,Qinghai,700200
2015,Xintai,CHN,Shandong,281248
1957,Xinxiang,CHN,Henan,473762
2076,Xinyang,CHN,Henan,192509
2108,Xinyu,CHN,Jiangxi,173524
2233,Xinzhou,CHN,Shanxi,98667
1901,Xi´an,CHN,Shaanxi,2761400
2204,Xuangzhou,CHN,Anhui,112673
2060,Xuchang,CHN,Henan,208815
1930,Xuzhou,CHN,Jiangsu,810000
1978,Yakeshi,CHN,"Inner Mongolia",377869
2011,Yancheng,CHN,Jiangsu,296831
2052,Yangjiang,CHN,Guangdong,215196
1986,Yangquan,CHN,Shanxi,362268
2003,Yangzhou,CHN,Jiangsu,312892
2041,Yanji,CHN,Jilin,230892
1960,Yantai,CHN,Shandong,452127
2202,Yan´an,CHN,Shaanxi,113277
2237,Ya´an,CHN,Sichuan,95900
2038,Yibin,CHN,Sichuan,241019
1979,Yichang,CHN,Hubei,371601
1932,Yichun,CHN,Heilongjiang,800000
2134,Yichun,CHN,Jiangxi,151585
1946,Yinchuan,CHN,Ningxia,544500
1966,Yingkou,CHN,Liaoning,421589
2066,Yixing,CHN,Jiangsu,200824
2085,Yiyang,CHN,Hunan,185818
2209,Yizheng,CHN,Jiangsu,109268
2206,Yong´an,CHN,Fujian,111762
2215,Yuanjiang,CHN,Hunan,107004
2078,Yuci,CHN,Shanxi,191356
2007,Yueyang,CHN,Hunan,302800
2142,Yulin,CHN,Guangxi,144467
2210,Yumen,CHN,Gansu,109234
2212,Yuncheng,CHN,Shanxi,108359
2169,Yushu,CHN,Jilin,131861
